Match_No,Runs,Opponent,Ground,Date,Match_Type
53,35,SriLanka,Wankhede,02-Apr-11,ODI
54,14,WestIndies,Port of Spain,04-Jun-11,T20
55,2,WestIndies,Port of Spain,06-Jun-11,ODI
56,81,WestIndies,Port of Spain,08-Jun-11,ODI
57,0,WestIndies,NorthSound,11-Jun-11,ODI
58,22,WestIndies,NorthSound,13-Jun-11,ODI
59,94,WestIndies,Kingston,16-Jun-11,ODI
60,4,WestIndies,Kingston,20-Jun-11,Test
61,15,WestIndies,Kingston,20-Jun-11,Test
62,0,WestIndies,Bridgetown,28-Jun-11,Test
63,27,WestIndies,Bridgetown,28-Jun-11,Test
64,30,WestIndies,Roseau,06-Jul-11,Test
65,4,England,Manchester,31-Aug-11,T20
66,55,England,Chester-le-Street,03-Sep-11,ODI
67,9,England,Southampton,06-Sep-11,ODI
68,7,England,The Oval,09-Sep-11,ODI
69,16,England,Lord's,11-Sep-11,ODI
70,107,England,Cardiff,16-Sep-11,ODI
71,37,England,Hyderabad,14-Oct-11,ODI
72,112,England,Delhi,17-Oct-11,ODI
73,35,England,Mohali,20-Oct-11,ODI
74,86,England,Wankhede,23-Oct-11,ODI
75,0,England,Kolkata,25-Oct-11,ODI
76,15,England,Kolkata,29-Oct-11,T20
77,52,WestIndies,Wankhede,22-Nov-11,Test
78,63,WestIndies,Wankhede,22-Nov-11,Test
79,3,WestIndies,Cuttack,29-Nov-11,ODI
80,117,WestIndies,Visakhapatnam,02-Dec-11,ODI
81,20,WestIndies,Ahmedabad,05-Dec-11,ODI
82,23,WestIndies,Indore,08-Dec-11,ODI
83,80,WestIndies,Chennai,11-Dec-11,ODI
84,11,Australia,Melbourne,26-Dec-11,Test
85,0,Australia,Melbourne,26-Dec-11,Test
86,23,Australia,Sydney,03-Jan-12,Test
87,9,Australia,Sydney,03-Jan-12,Test
88,44,Australia,Perth,13-Jan-12,Test
89,75,Australia,Perth,13-Jan-12,Test
90,116,Australia,Adelaide,24-Jan-12,Test
91,22,Australia,Adelaide,24-Jan-12,Test
92,22,Australia,Sydney,01-Feb-12,T20
93,31,Australia,Melbourne,03-Feb-12,T20
94,31,Australia,Melbourne,05-Feb-12,ODI
95,77,SriLanka,Perth,08-Feb-12,ODI
96,18,Australia,Adelaide,12-Feb-12,ODI
97,15,SriLanka,Adelaide,14-Feb-12,ODI
98,12,Australia,Brisbane,19-Feb-12,ODI
99,66,SriLanka,Brisbane,21-Feb-12,ODI
100,21,Australia,Sydney,26-Feb-12,ODI
101,133,SriLanka,Hobart,28-Feb-12,ODI
102,108,SriLanka,Mirpur,13-Mar-12,ODI
103,66,Bangladesh,Mirpur,16-Mar-12,ODI
104,183,Pakistan,Mirpur,18-Mar-12,ODI
105,106,SriLanka,Hambantota,21-Jul-12,ODI
106,1,SriLanka,Hambantota,24-Jul-12,ODI
107,38,SriLanka,Colombo(RPS),28-Jul-12,ODI
108,128,SriLanka,Colombo(RPS),31-Jul-12,ODI
109,23,SriLanka,Pallekele,04-Aug-12,ODI
110,68,SriLanka,Pallekele,07-Aug-12,T20
111,58,New Zealand,Hyderabad,23-Aug-12,Test
112,103,New Zealand,Bengaluru,31-Aug-12,Test
113,51,New Zealand,Bengaluru,31-Aug-12,Test
114,70,New Zealand,Chennai,11-Sep-12,T20
115,50,Afghanistan,Colombo(RPS),19-Sep-12,T20
116,40,England,Colombo(RPS),23-Sep-12,T20
117,15,Australia,Colombo(RPS),28-Sep-12,T20
118,78,Pakistan,Colombo(RPS),30-Sep-12,T20
119,2,South Africa,Colombo(RPS),02-Oct-12,T20
120,19,England,Ahmedabad,15-Nov-12,Test
121,14,England,Ahmedabad,15-Nov-12,Test
122,19,England,Wankhede,23-Nov-12,Test
123,7,England,Wankhede,23-Nov-12,Test
124,6,England,Kolkata,05-Dec-12,Test
125,20,England,Kolkata,05-Dec-12,Test
126,103,England,Nagpur,13-Dec-12,Test
127,21,England,Pune,20-Dec-12,T20
128,38,England,Wankhede,22-Dec-12,T20
129,9,Pakistan,Bengaluru,25-Dec-12,T20
130,27,Pakistan,Ahmedabad,28-Dec-12,T20
131,0,Pakistan,Chennai,30-Dec-12,ODI
